index,code,material,en,source,parent_code,single_use,groupname,fr,de,it
164,G19,plastic,Car parts,Vehicle,G19,False,unclassified,Pièces détachées pour voitures,Autoteile,componenti auto.
165,G2,plastic,Bags,Packaging,G2,True,packaging non food,Sacs,"Säcke, Taschen",Borse.
166,G20,plastic,Caps and lids,Packaging,G20,True,packaging non food,Capsules et couvercles,Laschen und Deckel,Tappi e coperchi.
167,G211,plastic,"Other medical (swabs, bandaging, adhesive plaster)",Medical,G211,True,personal items,"Autres articles médicaux: compresses, pansements",Sonstiges medizinisches Material,"Altri materiali medicali (cotone, fasciature, cerotto)"
168,G25,plastic,"Tobacco; plastic packaging, containers",Tobacco,G25,True,tobacco,Tabac emballages en plastique,"Tabak; Kunststoffverpackungen, Behälter","Tabacco; imballaggi in plastica, contenitori."
169,G26,plastic,Cigarette lighters,Tobacco,G26,False,tobacco,Allume-cigarettes,Feuerzeug,Accendini.
170,G27,plastic,Cigarette filters,Tobacco,G27,True,tobacco,Mégots et filtres à cigarettes,Zigarettenfilter,n
171,G28,plastic,"Pens, lids, mechanical pencils etc.",Utility items,G28,False,personal items,"Stylos, couvercles, porte-mines","Stifte, Deckel, Druckbleistifte usw.","Penna, tappi, matite meccaniche, ecc."
172,G29,plastic,"Combs, brushes and sunglasses",Utility items,G29,False,personal items,"Peignes, brosses et lunettes de soleil","Kämme, Bürsten und Sonnenbrillen","Pettini, spazzole e occhiali da sole."
173,G3,plastic,Bags; plastic shopping/carrier/grocery and pieces,Packaging,G3,True,packaging non food,Sacs en plastique pour achats et pièces,"Einkaufstaschen, Shoppingtaschen",Borse; plastiche per la spesa/borse per la spesa e pezzi.
174,G30,plastic,"Food wrappers; candy, snacks",Packaging,G30,True,food and drink,"Emballages de bonbons, de snacks",Snack-Verpackungen,"Involucri alimentari; caramelle, snack."
175,G31,plastic,Lollypop sticks,Packaging,G31,True,food and drink,Bâtonnets de sucette,"Schleckstengel, Stengel von Lutscher",bastoncini di lecca-lecca.
176,G32,plastic,Toys and party favors,Recreation,G32,False,recreation,Jouets et faveurs de fête,Spielzeug und Partyartikel,Giochi e bomboniere.
177,G33,plastic,"Cups, lids, single use foamed and hard plastic",Packaging,G33,True,food and drink,"Gobelets, couvercles, mousse à usage unique et plastique dur",Einwegartikel; Tassen/Becher & Deckel,"Tazze, coperchi, plastica espansa e rigida monouso."
178,G34,plastic,"Cutlery, plates and trays",Food,G34,True,food and drink,"Couverts, assiettes et plateaux palstique","Besteck, Teller und Tabletts","Posate, piatti e vassoi."
179,G35,plastic,Straws and stirrers,Food,G35,True,food and drink,Pailles et agitateurs,Strohhalme und Rührstäbchen,Cannucce e mescolatori.
180,G36,plastic,"Bags/sacks heavy duty plastic for 25 Kg or more; animal feed, fertilizers, garden trash etc.",Packaging,G36,True,agriculture,Sacs/sacs en plastique résistant pour 25 kg ou plus,"Säcke aus strapazierfähigem Kunststoff für 25 kg oder mehr; Tierfutter, Dünger, Gartenabfälle usw.",n
181,G37,plastic,Mesh bags,Packaging,G37,False,personal items,Sacs à mailles,"Netzbeutel, Netztasche, Netzsäcke",borse a rete.
182,G38,plastic,"Coverings; plastic packaging, sheeting for protecting large cargo items",Packaging,G38,True,unclassified,Couvertures; emballages en plastique gros calibre,"Abdeckungen; Kunststoffverpackungen, Folien zum Schutz grosser Ladungen","Coperture; imballaggi in plastica, teli per proteggere grandi carichi."
183,G39,plastic,Gloves,Clothing,G39,False,personal items,Gants,Handschuhe,Guanti.
184,G4,plastic,"Small plastic bags; freezer, zip-lock etc.",Packaging,G4,True,packaging non food,"Petits sacs en plastique ; congélateur, zip-lock","Kleine Plastikbeutel; Gefrierbeutel, Zippsäckchen, (Zip-Lock-Beutel) usw.","Piccole sacchetti di plastica; freezer, a chiusura ermetica, ecc."
185,G40,plastic,Gloves household/gardening,Clothing,G40,False,personal items,Gants de ménage/jardinage,Handschuhe Haushalt/Garten,Guanti per uso domestico/giardinaggio.
186,G41,plastic,Glove industrial/professional,Clothing,G41,False,agriculture,Gant industriel/professionnel,Handschuhe Industriell/Professionell,Guanto industriale/professionale.
187,G42,plastic,Crab lobster pots,Fishing,G42,False,unclassified,Pots à crabe et à homard,Krabben- und Hummerkörbe,Reti per granchi e aragoste.
188,G43,plastic,"Tags fishing or industry (security tags, seals)",Utility items,G43,False,recreation,"Étiquettes de sécurité, sceaux","Sicherheitsetiketten, Siegel für Fischerei oder Industrie ","Etichette da pesca o industria (etichette di sicurezza, sigilli)"
189,G44,plastic,Octopus pots,Fishing,G44,False,unclassified,Pots à poulpe,Kunststoffgefäss zum Fangen von Kraken,Pentole per polpi
190,G45,plastic,Mussel nets,Aquaculture,G45,False,unclassified,Filets à moules,Muschelnetze,Reti per cozze.
191,G46,plastic,Oyster trays,Aquaculture,G46,False,unclassified,Plateaux à huîtres,Austernschalen,Vassoi per ostriche.
192,G47,plastic,Sheeting from mussel culture,Aquaculture,G47,False,unclassified,Feuilles de la culture des moules,Folien aus der Muschelzucht,Pannelli da coltivazione di cozze.
193,G48,plastic,"Rope, synthetic",Utility items,G48,False,recreation,"Corde, synthétique","Seile, synthetische",Corda sintetica.
194,G49,plastic,Rope > 1cm,Utility items,G49,False,recreation,Corde > 1cm,Seile > 1cm,Corda > 1 cm
195,G5,plastic,Generic plastic bags,Packaging,G5,False,packaging non food,Sacs en plastique génériques,Plastiksäcke/ Plastiktüten,Sacchetti di plastica generici.
196,G50,plastic,String < 1cm,Utility items,G50,False,recreation,Cordon < 1cm,Schnur < 1cm,Filo < 1 cm
197,G51,plastic,Fishing net,Fishing,G51,False,recreation,Filet de pêche,Fischernetz,rete da pesca.
198,G52,plastic,Nets and pieces,Fishing,G52,False,recreation,Filets et pièces,Netze und Teilstücke,Retti e pezzi.
199,G53,plastic,Nets and pieces < 50cm,Fishing,G53,False,recreation,Filets et pièces < 50cm,Netze und Teilstücke < 50cm,Reti e pezzi < 50 cm
200,G54,plastic,Nets and pieces > 50cm,Fishing,G54,False,recreation,Filets et pièces > 50cm,Netze und Teilstücke > 50cm,Reti e pezzi > 50cm
201,G55,plastic,Fishing line (entangled),Fishing,G55,False,recreation,Ligne de pêche (enchevêtrée),Angelschnur (verwickelt),Filo da pesca (intricato)
202,G56,plastic,Tangled nets,Fishing,G56,False,recreation,Filets emmêlés,Verhedderte Netze,Reti aggrovigliate.
203,G57,plastic,Fish boxes,Fishing,G57,False,recreation,Caisses à poisson,Fischkisten,Scatole di pesce.
204,G58,plastic,Foam fish box,Fishing,G58,False,recreation,Caisses à poisson en mousse,Schaumstoff-Fischkiste,Scatola di pesce in polistirolo.
205,G59,plastic,Fishing line monofilament (angling),Fishing,G59,False,recreation,Ligne de pêche monofilament (pêche à la ligne),Monofile Angelschnur (Angeln),Filamento monofilo da pesca (pesca a traina)
206,G6,plastic,"Bottles and containers, plastic non food/drink",Packaging,G6,True,packaging non food,Récipients en plastique non alimentaires,"Flaschen und Behälter aus Kunststoff, nicht für Lebensmittel/Getränke","Bottiglie e contenitori, plastica non alimentare/bibite."
207,G60,plastic,Light sticks,Fishing,G60,False,recreation,Bâtons lumineux,"Lichtstab, Knicklicht, Glow-sticks",bastoni luminosi.
208,G61,plastic,Other fishing related,Fishing,G61,False,recreation,Autres activités liées à la pêche,Sonstiges Angelzubehör,Altri aspetti legati alla pesca
209,G62,plastic,Floats for nets,Fishing,G62,False,unclassified,Flotteurs pour filets,Schwimmer für Netze,Galleggianti per reti.
210,G63,plastic,Buoys,Undefined,G63,False,recreation,Bouées,Bojen,Boe.
211,G64,plastic,Fenders,Vehicle,G64,False,unclassified,Garde-boue,Kotflügel,Parafanghi.
212,G65,plastic,Buckets,Utility items,G65,False,agriculture,Seaux,Eimer,Secchi.
213,G66,plastic,"Straps/bands;  hard, plastic package fastener",Packaging,G66,False,infrastructure,Sangles/bandes ; fermeture de paquet en plastique dur,Umreifungsbänder; Hartplastik für Verpackung für Pakete,Cinghie/bande; fermacollo in plastica rigida.
214,G67,plastic,Industrial sheeting,Utility items,G67,False,agriculture,"Bâche, feuille plastique industrielle",Industriefolie (Kunststoff),Pannelli industriali.
215,G68,plastic,Fiberglass fragments,Fishing,G68,False,infrastructure,Fragments de fibre de verre,Fiberglas-Fragmente,Frammenti di fibra di vetro.
216,G69,plastic,Helmets or hardhats,Clothing,G69,False,infrastructure,Casques ou casques de sécurité,Helme oder Schutzhelme,Caschi o elmetti di sicurezza.
217,G7,plastic,Drink bottles < = 0.5L,Packaging,G7,True,food and drink,"Bouteilles à boisson < = 0,5L","Getränkeflaschen < = 0,5 l","Bottiglie d'acqua < = 0,5L."
218,G70,plastic,Shotgun cartridges,Hunting,G70,False,recreation,Cartouches de fusil de chasse,Schrotflintenpatronen,cartucce per fucile a pompa.
219,G71,plastic,Shoes sandals,Clothing,G71,False,personal items,Chaussures sandales,Schuhe Sandalen,Sandali
220,G72,plastic,Traffic cones,Utility items,G72,False,infrastructure,Cônes de signalisation,Verkehrskegel,coni stradali.
221,G73,plastic,Foamed items & pieces (non packaging/insulation) foamed sponge material,Recreation,G73,False,recreation,Articles et pièces en mousse (pas d'emballage),Gegenstände aus Schaumstoff & Teilstücke (nicht Verpackung/Isolierung) schwammartige Gegenstände,Articoli e pezzi in schiuma (non imballaggio/isolamento) materiale in spugna espansa.
222,G74,plastic,Foam packaging/insulation/polyurethane,Undefined,G74,False,infrastructure,Mousse de plastique pour l'isolation thermique,Schaumstoffverpackungen/Isolierung,Imballaggio in schiuma/isolatione/poliuretano.
223,G77,plastic,Plastic or polystyrene  > 50cm,Undefined,Gfrags,False,plastic pieces,Plastique ou polystyrène > 50cm,Kunststoff oder Styropor > 50cm,n
224,G8,plastic,Drink bottles  > 0.5L,Packaging,G8,True,food and drink,"Bouteilles à boisson > = 0,5L","Getränkeflaschen > 0,5L","Bottiglie d'acqua > 0,5L"
225,G84,plastic,CD or CD box,Packaging,G84,False,personal items,Disque compact ou conteneur,CD oder CD-Hülle,scatola per CD.
226,G85,plastic,Salt packaging,Packaging,G85,False,unclassified,Emballage du sel,"Salzsäcke (gross, zum Salzstreuen) ",Imballaggio del sale.
227,G86,plastic,Fin trees,Recreation,G86,False,recreation,Arbres à palmes,Scuba material,Fin trees
228,G87,plastic,"Tape, masking/duct/packing",Utility items,G87,False,infrastructure,"Ruban adhésif, masquage, emballage",Abdeckklebeband/Verpackungsklebeband,"Nastro, mascherante/duct/da imballaggio."
229,G88,plastic,Telephone incl. parts,Utility items,G88,False,personal items,"Téléphone, pièces détachées incluses",Telefon inkl. Teile,Telefono incl. parti
230,G89,plastic,Plastic construction waste,Construction,G89,False,infrastructure,Déchets de construction en plastique,Kunststoff-Bauabfälle,Rifiuti plastici da costruzione.
231,G9,plastic,"Cleaner, chemical bottles & containers",Packaging,G9,True,infrastructure,Récipients pour produits chimiques et nettoyants,Flaschen und Behälter für Reinigungsmittel und Chemikalien,"Detergente, bottiglie e contenitori chimici"
232,G90,plastic,Plastic flower pots,Agriculture,G90,False,agriculture,Pots de fleurs en plastique,Blumentöpfe aus Plastik,Vasi di plastica per fiori.
233,G91,plastic,Biomass holder,Water Treatment,G91,False,waste water,Porte-biomasse,Bio-Filtermaterial  / Trägermaterial aus Kunststoff für Abwasserbehandlung  im Bewegtbett-Biofilmreaktor  Verfahren (MBBR),Supporto per biomassa.
234,G92,plastic,Bait containers,Fishing,G92,False,recreation,Conteneurs à appâts,Köderbehälter,Contenitori per esche
235,G93,plastic,"Cable ties; steggel, zip, zap straps",Utility items,G93,True,infrastructure,"Colson, zip-ties",Kabelbinder,"Fermacavi; steggel, cinghie zip, cinghie zap."
236,G94,plastic,Table cloth,Utility items,G94,False,recreation,Nappe de table,Tischtuch,tovaglia.
237,G95,plastic,Cotton bud/swab sticks,Personal hygiene,G95,True,waste water,Coton-tige,Wattestäbchen/Tupfer,Cotton fioc.
238,G96,plastic,Sanitary pads /panty liners/tampons and applicators,Personal hygiene,G96,True,waste water,Serviettes hygiéniques / protège-slips / tampons et ...,Hygienebinden/Höscheneinlagen/Tampons und Applikatoren,Assorbenti / salvaslip / tamponi e applicatori.
239,G97,plastic,Toilet fresheners,Personal hygiene,G97,False,waste water,Rafraîchisseurs de toilettes,Behälter von Toilettenerfrischer ,Deodoranti per WC
240,G98,plastic,Diapers - wipes,Personal hygiene,G98,True,waste water,Couches - lingettes,Windeln – Feuchttücher,Pannolini - salviette.
241,G99,plastic,Syringes - needles,Medical,G99,False,personal items,Seringues - aiguilles,Spritzen - Nadeln,n
242,G125,rubber,Balloons and balloon sticks,Recreation,G125,True,recreation,Ballons et bâtonnets de ballons,Luftballons und Luftballonstäbchen,Palloni e bastoncini per palloni.
243,G126,rubber,Balls,Recreation,G126,False,recreation,Boules en caoutchouc,Bälle,Palle.
244,G127,rubber,Rubber boots,Clothing,G127,False,personal items,Bottes en caoutchouc,Gummistiefel,stivali di gomma.
245,G128,rubber,Tires and belts,Vehicle,G128,False,unclassified,Pneus et courroies,Reifen und Antriebsriemen,Pneumatici e cinghie.
246,G129,rubber,Inner tubes and rubber sheets,Vehicle,G129,False,unclassified,Chambres à air et feuilles de caoutchouc,Schläuche und Gummiplatten,Camera d'aria e fogli di gomma.
247,G130,rubber,Wheels,Vehicle,G130,False,unclassified,Roues,Räder,Ruote.
248,G131,rubber,Rubber bands,Utility items,G131,False,personal items,Bandes élastiques,Gummibänder,Elastici.
249,G132,rubber,Bobbers (fishing),Fishing,G132,False,recreation,Bobine de pêche,Schwimmer (Angeln),galleggianti (pesca).
250,G133,rubber,Condoms incl. packaging,Personal hygiene,G133,True,waste water,"Préservatifs, y compris emballage",Kondome einschließlich Verpackungen,Preservativi inclusi imballaggio.
251,G134,rubber,Other rubber,Undefined,G134,False,unclassified,Autre caoutchouc,Sonstiges Gummi,Altro gomma.
252,G998,unidentified,No exposed shoreline,undefined,G998,False,unclassified,aucun rivage exposé,Keine freiliegende Uferlinie,Nessuna costa esposta.
253,G999,unidentified,No objects found on this survey,Undefined,G999,False,unclassified,Aucun objet trouvé dans cette enquête,Keine Gegenstände bei dieser Erhebung/Studie gefunden,Nessun oggetto trovato in questo sondaggio.
254,G159,wood,Corks,Packaging,G159,False,food and drink,Bouchon de liège,Kork,tappi.
255,G160,wood,Pallets,Packaging,G160,False,infrastructure,Pallettes,Paletten,pallet
256,G161,wood,Processed timber,Packaging,G161,False,agriculture,Bois transformé,Verarbeitetes Holz,Legno lavorato.
257,G162,wood,Crates,Packaging,G162,False,infrastructure,Caisse,Kisten,casse
258,G163,wood,Crab lobster pots,Fishing,G163,False,unclassified,Pots à crabe et à homard,Krabben- und Hummerkörbe,Reti per granchi e aragoste.
259,G164,wood,Fish boxes,Fishing,G164,False,recreation,Caisse à poisson en bois,Fischkisten,Scatole di pesce.
260,G165,wood,"Ice cream sticks, toothpicks, chopsticks",Packaging,G165,True,food and drink,"Bâtons de glace, cure-dents, baguettes chinoises","Glacestengel (Eisstiele), Zahnstocher, Essstäbchen","Stecche di gelato, stuzzicadenti, bacchette."
261,G166,wood,Paint brushes,Utility items,G166,False,infrastructure,Pinceau,Farbpinsel,pennelli.
262,G167,wood,Matches or fireworks,Recreation,G167,False,recreation,Allumettes ou feux d'artifice,Streichhölzer oder Feuerwerke,Fiammiferi o fuochi d'artificio.
263,G168,wood,Wood boards,Undefined,G168,False,agriculture,Planches de bois,Holzbretter,Tavole di legno.
264,G169,wood,"Beams, dunnage",Undefined,G169,False,infrastructure,"Poutres, bois de calage","Balken, Stauholz","Travi, materiale di riempimento."
265,G170,wood,Wood (processed),Undefined,G170,False,agriculture,Bois (transformé),Holz (verarbeitet),Legno (lavorato)
266,G171,wood,Other wood < 50cm,Undefined,G171,False,agriculture,Autre bois < 50cm,Sonstiges Holz < 50cm,Altra legna < 50cm
267,G172,wood,Other wood > 50cm,Undefined,G172,False,agriculture,Autres bois > 50cm,Sonstiges Holz > 50 cm,Altra legna > 50cm
268,G173,wood,Other,Undefined,G173,False,unclassified,Autres bois,Sonstiges,Altro.
269,Gfrags,plastic,Fragmented plastics,Undefined,Gfrags,False,plastic pieces,"Fragments de plastique: g80, g79, g78, g77, g76, g75","Fragmentierte Kunststoffe:G80, G79, G78, G75, G76, G77",Plastica frammentata
270,Gcaps,plastic,"plastic caps, lid rings: G21, G22, G23, G24",Usagers,Gcaps,False,packaging non food,"Couvercles en plastique bouteille:  G21, G22, G23, G24","plastic caps, lid rings: G21, G22, G23, G24","tappi di plastica, anelli per coperchi: G21, G22, G23, G24."
271,Gfoams,plastic,Expanded polystyrene,Undefined,Gfoams,False,infrastructure,"Fragments de polystyrène expansé: g81, g82, g83",Expandiertes Polystyrol,polistirene espanso.
272,G216,unidentified,"various rubbish (worked wood, metal parts)",Undefined,G216,False,unclassified,"déchets divers (bois travaillé, pièces métalliques)","diverser Müll (bearbeitetes Holz, Metallteile)","vario materiale di scarto (legno lavorato, parti metalliche)."
